,Date,Ticker,Expiration,OpenInterest,OpenInterestBefore,CallPut,Strike,StrikeDiff,ClosePrice,ClosePriceAfter,ExpirationDiff
0,2012-10-16,JNJ   ,2012-11-17,1085.0,939.0,P,70.0,0.4499969482421875,17.387500762939453,17.377500534057617,4.0
1,2012-10-16,JNJ   ,2012-11-17,10449.0,10094.0,C,70.0,0.4499969482421875,17.387500762939453,17.377500534057617,4.0
0,2012-07-17,JNJ   ,2012-08-18,1337.0,1056.0,P,70.0,1.0,17.25,17.15999984741211,4.0
1,2012-07-17,JNJ   ,2012-08-18,7547.0,7013.0,C,70.0,1.0,17.25,17.15999984741211,4.0
0,2012-04-17,JNJ   ,2012-05-19,4007.0,3374.0,C,65.0,0.779998779296875,16.05500030517578,15.90250015258789,4.0
1,2012-04-17,JNJ   ,2012-05-19,6266.0,6219.0,P,65.0,0.779998779296875,16.05500030517578,15.90250015258789,4.0
0,2011-10-18,JNJ   ,2011-11-19,1266.0,1348.0,P,65.0,0.5800018310546875,16.104999542236328,16.247499465942383,4.0
1,2011-10-18,JNJ   ,2011-11-19,7872.0,7643.0,C,65.0,0.5800018310546875,16.104999542236328,16.247499465942383,4.0
0,2011-07-19,JNJ   ,2011-08-20,3818.0,2933.0,P,67.5,0.779998779296875,16.68000030517578,16.09000015258789,4.0
1,2011-07-19,JNJ   ,2011-08-20,10909.0,9468.0,C,67.5,0.779998779296875,16.68000030517578,16.09000015258789,4.0
0,2011-04-19,JNJ   ,2011-05-21,5458.0,3777.0,P,62.5,0.18999862670898438,15.672499656677246,16.625,3.0
1,2011-04-19,JNJ   ,2011-05-21,15367.0,13774.0,C,62.5,0.18999862670898438,15.672499656677246,16.625,3.0
0,2013-07-12,JPM   ,2013-08-09,11.0,0.0,C,55.0,0.029998779296875,18.323333740234375,18.1733341217041,0.0
1,2013-07-12,JPM   ,2013-08-09,19.0,0.0,P,55.0,0.029998779296875,18.323333740234375,18.1733341217041,0.0
0,2013-04-12,JPM   ,2013-05-18,8279.0,7858.0,P,49.0,0.009998321533203125,16.336666107177734,16.31999969482422,8.0
1,2013-04-12,JPM   ,2013-05-18,12396.0,9655.0,C,49.0,0.009998321533203125,16.336666107177734,16.31999969482422,8.0
0,2013-01-16,JPM   ,2013-02-16,2487.0,414.0,P,47.0,0.18000030517578125,15.606666564941406,16.406667709350586,2.0
1,2013-01-16,JPM   ,2013-02-16,5951.0,4560.0,C,47.0,0.18000030517578125,15.606666564941406,16.406667709350586,2.0
0,2012-07-13,JPM   ,2012-08-18,4311.0,4255.0,P,36.0,0.06999969482421875,12.023333549499512,12.323333740234375,8.0
1,2012-07-13,JPM   ,2012-08-18,13424.0,12531.0,C,36.0,0.06999969482421875,12.023333549499512,12.323333740234375,8.0
0,2012-04-13,JPM   ,2012-05-19,6091.0,6144.0,P,43.0,0.20999908447265625,14.403332710266113,12.319999694824219,8.0
1,2012-04-13,JPM   ,2012-05-19,11918.0,12117.0,C,43.0,0.20999908447265625,14.403332710266113,12.319999694824219,8.0
0,2012-01-13,JPM   ,2012-02-18,2152.0,1627.0,P,36.0,0.0800018310546875,11.973332405090332,12.766666412353516,5.0
1,2012-01-13,JPM   ,2012-02-18,17764.0,8229.0,C,36.0,0.0800018310546875,11.973332405090332,12.766666412353516,5.0
0,2011-10-13,JPM   ,2011-11-19,2450.0,2077.0,P,32.0,0.39999961853027344,10.533333778381348,10.913333892822266,9.0
1,2011-10-13,JPM   ,2011-11-19,13162.0,11707.0,C,32.0,0.39999961853027344,10.533333778381348,10.913333892822266,9.0
0,2011-07-14,JPM   ,2011-08-20,14319.0,11168.0,C,40.0,0.34999847412109375,13.449999809265137,12.229999542236328,9.0
1,2011-07-14,JPM   ,2011-08-20,24088.0,23379.0,P,40.0,0.34999847412109375,13.449999809265137,12.229999542236328,9.0
0,2011-04-13,JPM   ,2011-05-21,11303.0,9986.0,P,46.0,0.25,15.416666984558105,14.696666717529297,9.0
1,2011-04-13,JPM   ,2011-05-21,16515.0,15933.0,C,46.0,0.25,15.416666984558105,14.696666717529297,9.0
0,2011-01-14,JPM   ,2011-02-19,3182.0,3239.0,P,45.0,0.09000015258789062,14.970000267028809,15.513333320617676,5.0
1,2011-01-14,JPM   ,2011-02-19,69351.0,57049.0,C,45.0,0.09000015258789062,14.970000267028809,15.513333320617676,5.0
0,2013-04-19,GE    ,2013-05-18,10530.0,10309.0,C,22.0,0.25,3.625,3.9099998474121094,1.0
1,2013-04-19,GE    ,2013-05-18,13410.0,12578.0,P,22.0,0.25,3.625,3.9099998474121094,1.0
0,2012-10-19,GE    ,2012-11-17,20680.0,20346.0,C,22.0,0.030000686645507812,3.6716668605804443,3.3583333492279053,1.0
1,2012-10-19,GE    ,2012-11-17,42967.0,32007.0,P,22.0,0.030000686645507812,3.6716668605804443,3.3583333492279053,1.0
0,2012-07-20,GE    ,2012-08-18,15683.0,15101.0,P,20.0,0.12999916076660156,3.31166672706604,3.5,1.0
1,2012-07-20,GE    ,2012-08-18,47276.0,44683.0,C,20.0,0.12999916076660156,3.31166672706604,3.5,1.0
0,2012-04-20,GE    ,2012-05-19,16651.0,15406.0,C,19.0,0.3600006103515625,3.2266666889190674,3.1583335399627686,1.0
1,2012-04-20,GE    ,2012-05-19,24264.0,23837.0,P,19.0,0.3600006103515625,3.2266666889190674,3.1583335399627686,1.0
0,2012-01-20,GE    ,2012-02-18,12940.0,11846.0,P,19.0,0.14999961853027344,3.191666603088379,3.2133333683013916,1.0
1,2012-01-20,GE    ,2012-02-18,49079.0,48764.0,C,19.0,0.14999961853027344,3.191666603088379,3.2133333683013916,1.0
0,2011-10-21,GE    ,2011-11-19,34344.0,32968.0,C,16.0,0.3099994659423828,2.7183332443237305,2.6083333492279053,1.0
1,2011-10-21,GE    ,2011-11-19,40897.0,40324.0,P,16.0,0.3099994659423828,2.7183332443237305,2.6083333492279053,1.0
0,2011-07-22,GE    ,2011-08-20,39820.0,36461.0,P,19.0,0.04000091552734375,3.1733334064483643,2.515000104904175,1.0
1,2011-07-22,GE    ,2011-08-20,70287.0,66149.0,C,19.0,0.04000091552734375,3.1733334064483643,2.515000104904175,1.0
0,2011-04-21,GE    ,2011-05-21,36173.0,35722.0,P,20.0,0.049999237060546875,3.325000047683716,3.2700002193450928,1.0
1,2011-04-21,GE    ,2011-05-21,46701.0,46624.0,C,20.0,0.049999237060546875,3.325000047683716,3.2700002193450928,1.0
0,2011-01-21,GE    ,2011-02-19,4968.0,4909.0,P,20.0,0.26000022888183594,3.2899999618530273,3.573333501815796,1.0
1,2011-01-21,GE    ,2011-02-19,17158.0,15780.0,C,20.0,0.26000022888183594,3.2899999618530273,3.573333501815796,1.0
0,2013-07-26,AMZN  ,2013-08-23,10.0,0.0,P,310.0,2.010009765625,26.00083351135254,24.16750144958496,0.0
1,2013-07-26,AMZN  ,2013-08-23,10.0,10.0,P,310.0,2.010009765625,26.00083351135254,24.16750144958496,0.0
2,2013-07-26,AMZN  ,2013-08-23,11.0,11.0,C,310.0,2.010009765625,26.00083351135254,24.16750144958496,0.0
3,2013-07-26,AMZN  ,2013-08-23,11.0,32.0,C,310.0,2.010009765625,26.00083351135254,24.16750144958496,0.0
4,2013-07-26,AMZN  ,2013-08-23,41.0,0.0,P,310.0,2.010009765625,26.00083351135254,24.16750144958496,0.0
5,2013-07-26,AMZN  ,2013-08-23,41.0,10.0,P,310.0,2.010009765625,26.00083351135254,24.16750144958496,0.0
6,2013-07-26,AMZN  ,2013-08-23,42.0,11.0,C,310.0,2.010009765625,26.00083351135254,24.16750144958496,0.0
7,2013-07-26,AMZN  ,2013-08-23,42.0,32.0,C,310.0,2.010009765625,26.00083351135254,24.16750144958496,0.0
0,2013-04-26,AMZN  ,2013-05-24,10.0,10.0,C,255.0,0.19000244140625,21.234167098999023,21.81166648864746,0.0
1,2013-04-26,AMZN  ,2013-05-24,18.0,16.0,P,255.0,0.19000244140625,21.234167098999023,21.81166648864746,0.0
2,2013-04-26,AMZN  ,2013-05-24,18.0,18.0,P,255.0,0.19000244140625,21.234167098999023,21.81166648864746,0.0
3,2013-04-26,AMZN  ,2013-05-24,27.0,16.0,P,255.0,0.19000244140625,21.234167098999023,21.81166648864746,0.0
4,2013-04-26,AMZN  ,2013-05-24,27.0,18.0,P,255.0,0.19000244140625,21.234167098999023,21.81166648864746,0.0
0,2013-07-25,FB    ,2013-08-23,0.0,0.0,C,34.0,0.35900115966796875,34.35900115966797,38.54999923706055,1.0
1,2013-07-25,FB    ,2013-08-23,86.0,86.0,P,34.0,0.35900115966796875,34.35900115966797,38.54999923706055,1.0
0,2013-05-02,FB    ,2013-05-31,63.0,72.0,P,29.0,0.030000686645507812,28.969999313354492,24.347999572753906,0.0
1,2013-05-02,FB    ,2013-05-31,1451.0,1238.0,C,29.0,0.030000686645507812,28.969999313354492,24.347999572753906,0.0
0,2013-01-31,FB    ,2013-03-01,1276.0,304.0,P,31.0,0.018999099731445312,30.981000900268555,27.780000686645508,0.0
1,2013-01-31,FB    ,2013-03-01,1595.0,244.0,C,31.0,0.018999099731445312,30.981000900268555,27.780000686645508,0.0
0,2013-07-12,WFC   ,2013-08-09,33.0,0.0,P,42.5,0.13000106811523438,10.657500267028809,10.807499885559082,0.0
1,2013-07-12,WFC   ,2013-08-09,70.0,0.0,C,42.5,0.13000106811523438,10.657500267028809,10.807499885559082,0.0
0,2013-01-11,WFC   ,2013-02-16,4951.0,3771.0,P,35.0,0.09999847412109375,8.774999618530273,8.8149995803833,5.0
1,2013-01-11,WFC   ,2013-02-16,18480.0,11158.0,C,35.0,0.09999847412109375,8.774999618530273,8.8149995803833,5.0
0,2012-10-12,WFC   ,2012-11-17,5864.0,4376.0,C,34.0,0.25,8.5625,8.087499618530273,8.0
1,2012-10-12,WFC   ,2012-11-17,10033.0,7589.0,P,34.0,0.25,8.5625,8.087499618530273,8.0
0,2012-07-13,WFC   ,2012-08-18,1706.0,1622.0,P,34.0,0.09000015258789062,8.477499961853027,8.457500457763672,8.0
1,2012-07-13,WFC   ,2012-08-18,11337.0,11624.0,C,34.0,0.09000015258789062,8.477499961853027,8.457500457763672,8.0
0,2012-04-13,WFC   ,2012-05-19,5918.0,4771.0,C,33.0,0.15999984741210938,8.210000038146973,8.327500343322754,8.0
1,2012-04-13,WFC   ,2012-05-19,6835.0,6327.0,P,33.0,0.15999984741210938,8.210000038146973,8.327500343322754,8.0
0,2012-01-17,WFC   ,2012-02-18,965.0,801.0,P,30.0,0.17499923706054688,7.456250190734863,7.605000019073486,4.0
1,2012-01-17,WFC   ,2012-02-18,22773.0,19998.0,C,30.0,0.17499923706054688,7.456250190734863,7.605000019073486,4.0
0,2011-10-17,WFC   ,2011-11-19,5093.0,4695.0,P,24.0,0.4200000762939453,6.105000019073486,6.275000095367432,5.0
1,2011-10-17,WFC   ,2011-11-19,11764.0,11541.0,C,24.0,0.4200000762939453,6.105000019073486,6.275000095367432,5.0
0,2011-07-19,WFC   ,2011-08-20,4994.0,4936.0,P,28.0,0.4099998474121094,7.102499961853027,6.137499809265137,4.0
1,2011-07-19,WFC   ,2011-08-20,14373.0,11429.0,C,28.0,0.4099998474121094,7.102499961853027,6.137499809265137,4.0
0,2011-04-20,WFC   ,2011-05-21,3297.0,3601.0,C,29.0,0.1700000762939453,7.207499980926514,7.152500152587891,2.0
1,2011-04-20,WFC   ,2011-05-21,9128.0,8620.0,P,29.0,0.1700000762939453,7.207499980926514,7.152500152587891,2.0
0,2011-01-19,WFC   ,2011-02-19,12004.0,9477.0,P,32.0,0.1900005340576172,7.952499866485596,8.324999809265137,3.0
1,2011-01-19,WFC   ,2011-02-19,23447.0,21841.0,C,32.0,0.1900005340576172,7.952499866485596,8.324999809265137,3.0
0,2011-10-21,T     ,2011-11-19,7132.0,6775.0,P,29.0,0.12999916076660156,14.5649995803833,14.319999694824219,1.0
1,2011-10-21,T     ,2011-11-19,36064.0,34705.0,C,29.0,0.12999916076660156,14.5649995803833,14.319999694824219,1.0
0,2011-07-22,T     ,2011-08-20,6930.0,6929.0,C,30.0,0.31999969482421875,15.15999984741211,13.994999885559082,1.0
1,2011-07-22,T     ,2011-08-20,16882.0,16525.0,P,30.0,0.31999969482421875,15.15999984741211,13.994999885559082,1.0
0,2011-04-21,T     ,2011-05-21,3291.0,2745.0,P,31.0,0.31999969482421875,15.34000015258789,15.65999984741211,1.0
1,2011-04-21,T     ,2011-05-21,36241.0,47699.0,C,31.0,0.31999969482421875,15.34000015258789,15.65999984741211,1.0
0,2013-07-19,GOOG  ,2013-08-17,43.0,42.0,C,895.0,1.5980224609375,896.5980224609375,856.9080200195312,1.0
1,2013-07-19,GOOG  ,2013-08-17,43.0,382.0,C,895.0,1.5980224609375,896.5980224609375,856.9080200195312,1.0
2,2013-07-19,GOOG  ,2013-08-17,77.0,71.0,P,895.0,1.5980224609375,896.5980224609375,856.9080200195312,1.0
3,2013-07-19,GOOG  ,2013-08-17,77.0,554.0,P,895.0,1.5980224609375,896.5980224609375,856.9080200195312,1.0
4,2013-07-19,GOOG  ,2013-08-17,383.0,42.0,C,895.0,1.5980224609375,896.5980224609375,856.9080200195312,1.0
5,2013-07-19,GOOG  ,2013-08-17,383.0,382.0,C,895.0,1.5980224609375,896.5980224609375,856.9080200195312,1.0
6,2013-07-19,GOOG  ,2013-08-17,547.0,71.0,P,895.0,1.5980224609375,896.5980224609375,856.9080200195312,1.0
7,2013-07-19,GOOG  ,2013-08-17,547.0,554.0,P,895.0,1.5980224609375,896.5980224609375,856.9080200195312,1.0
0,2013-04-19,GOOG  ,2013-05-18,86.0,80.0,C,800.0,0.1300048828125,799.8699951171875,909.1799926757812,1.0
1,2013-04-19,GOOG  ,2013-05-18,86.0,1461.0,C,800.0,0.1300048828125,799.8699951171875,909.1799926757812,1.0
2,2013-04-19,GOOG  ,2013-05-18,133.0,133.0,P,800.0,0.1300048828125,799.8699951171875,909.1799926757812,1.0
3,2013-04-19,GOOG  ,2013-05-18,133.0,1479.0,P,800.0,0.1300048828125,799.8699951171875,909.1799926757812,1.0
4,2013-04-19,GOOG  ,2013-05-18,1431.0,133.0,P,800.0,0.1300048828125,799.8699951171875,909.1799926757812,1.0
5,2013-04-19,GOOG  ,2013-05-18,1431.0,1479.0,P,800.0,0.1300048828125,799.8699951171875,909.1799926757812,1.0
6,2013-04-19,GOOG  ,2013-05-18,3191.0,80.0,C,800.0,0.1300048828125,799.8699951171875,909.1799926757812,1.0
7,2013-04-19,GOOG  ,2013-05-18,3191.0,1461.0,C,800.0,0.1300048828125,799.8699951171875,909.1799926757812,1.0
0,2013-01-23,GOOG  ,2013-02-22,0.0,0.0,P,740.0,1.5,741.5,795.530029296875,1.0
1,2013-01-23,GOOG  ,2013-02-22,17.0,4.0,C,740.0,1.5,741.5,795.530029296875,1.0
0,2012-10-19,GOOG  ,2012-11-17,422.0,288.0,C,680.0,1.78997802734375,681.7899780273438,647.1799926757812,1.0
1,2012-10-19,GOOG  ,2012-11-17,1066.0,826.0,P,680.0,1.78997802734375,681.7899780273438,647.1799926757812,1.0
0,2012-07-20,GOOG  ,2012-08-18,249.0,136.0,P,610.0,0.82000732421875,610.8200073242188,677.1400146484375,1.0
1,2012-07-20,GOOG  ,2012-08-18,1217.0,591.0,C,610.0,0.82000732421875,610.8200073242188,677.1400146484375,1.0
0,2012-04-13,GOOG  ,2012-05-19,706.0,634.0,C,625.0,0.4000244140625,624.5999755859375,605.22998046875,8.0
1,2012-04-13,GOOG  ,2012-05-19,887.0,642.0,P,625.0,0.4000244140625,624.5999755859375,605.22998046875,8.0
0,2012-01-20,GOOG  ,2012-02-18,34.0,30.0,C,585.0,0.989990234375,585.989990234375,604.6400146484375,1.0
1,2012-01-20,GOOG  ,2012-02-18,1062.0,1049.0,P,585.0,0.989990234375,585.989990234375,604.6400146484375,1.0
0,2011-10-14,GOOG  ,2011-11-19,13.0,13.0,P,590.0,1.67999267578125,591.6799926757812,608.3499755859375,8.0
1,2011-10-14,GOOG  ,2011-11-19,690.0,641.0,C,590.0,1.67999267578125,591.6799926757812,608.3499755859375,8.0
0,2011-07-15,GOOG  ,2011-08-20,35.0,36.0,P,600.0,2.3800048828125,597.6199951171875,563.77001953125,8.0
1,2011-07-15,GOOG  ,2011-08-20,9058.0,8181.0,C,600.0,2.3800048828125,597.6199951171875,563.77001953125,8.0
0,2011-04-15,GOOG  ,2011-05-21,69.0,72.0,C,530.0,0.70001220703125,530.7000122070312,518.4199829101562,5.0
1,2011-04-15,GOOG  ,2011-05-21,1369.0,684.0,P,530.0,0.70001220703125,530.7000122070312,518.4199829101562,5.0
0,2011-01-21,GOOG  ,2011-02-19,865.0,941.0,C,610.0,1.83001708984375,611.8300170898438,630.0800170898438,1.0
1,2011-01-21,GOOG  ,2011-02-19,1275.0,1134.0,P,610.0,1.83001708984375,611.8300170898438,630.0800170898438,1.0
0,2013-08-01,PG    ,2013-08-30,0.0,0.0,P,81.5,0.1399993896484375,20.40999984741211,19.327499389648438,1.0
1,2013-08-01,PG    ,2013-08-30,5.0,5.0,C,81.5,0.1399993896484375,20.40999984741211,19.327499389648438,1.0
0,2012-04-19,BAC   ,2012-05-19,139170.0,129217.0,C,9.0,0.22999954223632812,2.192500114440918,1.7450000047683716,2.0
1,2012-04-19,BAC   ,2012-05-19,154064.0,151521.0,P,9.0,0.22999954223632812,2.192500114440918,1.7450000047683716,2.0
0,2012-01-19,BAC   ,2012-02-18,57721.0,48898.0,P,7.0,0.039999961853027344,1.7400000095367432,2.0225000381469727,2.0
1,2012-01-19,BAC   ,2012-02-18,183290.0,172437.0,C,7.0,0.039999961853027344,1.7400000095367432,2.0225000381469727,2.0
0,2011-07-19,BAC   ,2011-08-20,77547.0,57483.0,C,10.0,0.43000030517578125,2.3924999237060547,1.850000023841858,4.0
1,2011-07-19,BAC   ,2011-08-20,236610.0,249982.0,P,10.0,0.43000030517578125,2.3924999237060547,1.850000023841858,4.0
0,2011-04-15,BAC   ,2011-05-21,128123.0,126966.0,C,13.0,0.18000030517578125,3.2049999237060547,2.9649999141693115,5.0
1,2011-04-15,BAC   ,2011-05-21,174499.0,171230.0,P,13.0,0.18000030517578125,3.2049999237060547,2.9649999141693115,5.0
0,2011-01-21,BAC   ,2011-02-19,105992.0,94079.0,P,14.0,0.25,3.5625,3.6875,1.0
1,2011-01-21,BAC   ,2011-02-19,147181.0,147273.0,C,14.0,0.25,3.5625,3.6875,1.0
0,2013-08-02,CVX   ,2013-08-30,74.0,99.0,C,125.0,0.0500030517578125,62.474998474121094,60.21500015258789,0.0
1,2013-08-02,CVX   ,2013-08-30,92.0,83.0,P,125.0,0.0500030517578125,62.474998474121094,60.21500015258789,0.0
0,2013-02-01,CVX   ,2013-03-16,3781.0,3271.0,P,115.0,1.5,58.25,58.744998931884766,12.0
1,2013-02-01,CVX   ,2013-03-16,10275.0,10124.0,C,115.0,1.5,58.25,58.744998931884766,12.0
0,2013-07-30,PFE   ,2013-08-30,35.0,10.0,C,29.5,0.1700000762939453,4.945000171661377,4.665833473205566,3.0
1,2013-07-30,PFE   ,2013-08-30,135.0,109.0,P,29.5,0.1700000762939453,4.945000171661377,4.665833473205566,3.0
0,2013-07-18,VZ    ,2013-08-17,5841.0,5740.0,P,50.0,0.029998779296875,24.985000610351562,24.270000457763672,2.0
1,2013-07-18,VZ    ,2013-08-17,8614.0,9732.0,C,50.0,0.029998779296875,24.985000610351562,24.270000457763672,2.0
0,2013-04-18,VZ    ,2013-05-18,7110.0,6867.0,C,50.0,0.9099998474121094,25.454999923706055,26.600000381469727,2.0
1,2013-04-18,VZ    ,2013-05-18,8855.0,6430.0,P,50.0,0.9099998474121094,25.454999923706055,26.600000381469727,2.0
0,2012-10-18,VZ    ,2012-11-17,6333.0,6115.0,P,46.0,0.220001220703125,22.889999389648438,20.850000381469727,2.0
1,2012-10-18,VZ    ,2012-11-17,11561.0,11224.0,C,46.0,0.220001220703125,22.889999389648438,20.850000381469727,2.0
0,2012-07-19,VZ    ,2012-08-18,4902.0,3533.0,P,45.0,0.45999908447265625,22.270000457763672,22.059999465942383,2.0
1,2012-07-19,VZ    ,2012-08-18,9204.0,8879.0,C,45.0,0.45999908447265625,22.270000457763672,22.059999465942383,2.0
0,2012-04-19,VZ    ,2012-05-19,7649.0,7528.0,P,38.0,0.15000152587890625,19.075000762939453,20.684999465942383,2.0
1,2012-04-19,VZ    ,2012-05-19,19466.0,14560.0,C,38.0,0.15000152587890625,19.075000762939453,20.684999465942383,2.0
0,2011-10-21,VZ    ,2011-11-19,4021.0,4003.0,P,37.0,0.4199981689453125,18.709999084472656,18.229999542236328,1.0
1,2011-10-21,VZ    ,2011-11-19,12106.0,11239.0,C,37.0,0.4199981689453125,18.709999084472656,18.229999542236328,1.0
0,2011-07-22,VZ    ,2011-08-20,4548.0,3806.0,P,37.0,0.2599983215332031,18.3700008392334,17.354999542236328,1.0
1,2011-07-22,VZ    ,2011-08-20,11531.0,12290.0,C,37.0,0.2599983215332031,18.3700008392334,17.354999542236328,1.0
0,2011-04-21,VZ    ,2011-05-21,7595.0,7212.0,P,37.0,0.09000015258789062,18.454999923706055,18.575000762939453,1.0
1,2011-04-21,VZ    ,2011-05-21,15501.0,15674.0,C,37.0,0.09000015258789062,18.454999923706055,18.575000762939453,1.0
0,2013-02-01,MRK   ,2013-03-16,791.0,637.0,P,42.0,0.1699981689453125,20.915000915527344,21.670000076293945,12.0
1,2013-02-01,MRK   ,2013-03-16,1123.0,996.0,C,42.0,0.1699981689453125,20.915000915527344,21.670000076293945,12.0
0,2013-07-18,INTC  ,2013-08-17,12574.0,12220.0,C,23.0,0.24399948120117188,2.9054999351501465,2.7537500858306885,2.0
1,2013-07-18,INTC  ,2013-08-17,28515.0,29812.0,P,23.0,0.24399948120117188,2.9054999351501465,2.7537500858306885,2.0
0,2013-04-17,INTC  ,2013-05-18,19285.0,16836.0,P,22.0,0.06999969482421875,2.7412500381469727,3.0250000953674316,3.0
1,2013-04-17,INTC  ,2013-05-18,36880.0,30303.0,C,22.0,0.06999969482421875,2.7412500381469727,3.0250000953674316,3.0
0,2012-10-17,INTC  ,2012-11-17,15116.0,12288.0,C,22.0,0.20999908447265625,2.723750114440918,2.494999885559082,3.0
1,2012-10-17,INTC  ,2012-11-17,35032.0,34192.0,P,22.0,0.20999908447265625,2.723750114440918,2.494999885559082,3.0
0,2012-07-18,INTC  ,2012-08-18,15646.0,16505.0,P,26.0,0.20999908447265625,3.276249885559082,3.283750057220459,3.0
1,2012-07-18,INTC  ,2012-08-18,20316.0,12638.0,C,26.0,0.20999908447265625,3.276249885559082,3.283750057220459,3.0
0,2012-04-18,INTC  ,2012-05-19,15230.0,13207.0,P,28.0,0.049999237060546875,3.4937500953674316,3.311875104904175,3.0
1,2012-04-18,INTC  ,2012-05-19,34602.0,29394.0,C,28.0,0.049999237060546875,3.4937500953674316,3.311875104904175,3.0
